Coder initials:,id,Please flag any of the following issues that prevent you from coding this article:,What is the 2016 journal impact factor? (skip if you cannot identify),What is the journal impact factor for the article's year of publication? (skip if you cannot identify),Which country is the corresponding author based in according to their affiliation?,Does the study include human or animal subjects?,What type of study is being reported?,How many times has the article been cited in a meta-analysis?,How many times has the article been explicitly excluded from a meta-analysis?,How many times has the article been cited in a systematic review?,How many times has the article been explicitly excluded from a systematic review?,How many times has the article been cited in a replication study?,Does the article state whether or not materials are available?,Please copy and paste the materials availability statement here:,How does the statement indicate the materials are available?,"Can you access, download, and open the materials files?",Does the article state whether or not data are available?,Please copy and paste the data availability statement here:,How does the statement indicate the data are available?,"Can you access, download, and open the data files?",Are the data files clearly documented?,Do the data files appear to contain all of the raw data necessary to reproduce the reported findings?,Does the article state whether or not analysis scripts are available?,Please copy and paste the analysis script availability statement here:,How does the statement indicate the analysis scripts are available?,"Can you access, download, and open the analysis files?",Does the article state whether or not the study (or some aspect of the study) was pre-registered?,Please copy and paste the pre-registration statement here:,Where does the article indicate the pre-registration is located?,Can you access and open the pre-registration?,What aspects of the study appear to be pre-registered? (select all that apply),Does the article link to an accessible protocol?,What aspects of the study appear to be included in the protocol? (select all that apply),Does the article claim to report a replication study or novel study?,Does the article include a statement indicating whether there were any conflicts of interest?,"Please copy and paste the conflict of interest statement here (enter ""none"" if there was no statement):",Does the article include a statement indicating whether there were funding sources?,"Please copy and paste the funding statement here (enter ""none"" if there was no statement):",Is the article open access?,eid,year,jnl,vol,iss,page,artno,title,doi,subjectArea,cites,abstract,journal,language,ASJC,KBclassification
JW/TH,bHxeV,There are no issues,3.593,3.25,Australia,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84941616384,2015,Appl. Linguist.,36,4,466,NA,Applied Linguistics: The Challenge of Theory,10.1093/applin/amv042,Communication,3,"© 2015 Oxford University Press 2015. Language has featured prominently in contemporary social theory, but the relevance of this fact to the concerns of Applied Linguistics, with its necessary orientation to practical issues of language in context, represents an ongoing challenge. This article supports the need for a greater engagement with theory in Applied Linguistics. It considers the ongoing debate about the nature of Applied Linguistics as a field and the role of theory within it. The article concludes with a call for re-engagement with theory in the humanities, in particular poststructuralism.",Applied Linguistics,eng,AH SOC,LightOrange
SC/TH,bqFud,There are no issues,NA,NA,India,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,85008683492,2016,Vision,20,4,290,NA,Kindling the Creative Potential,10.1177/0972262916668712,Business and International Management,0,"¬© 2016, ¬© 2016 Management Development Institute.‚ÄòThere‚Äôs a way to do it better‚Äîfind it‚Äô‚ÄîThomas Edison In this competitive era, it becomes vital for organizations to be innovative in their businesses and employees of an organization play a crucial role towards this goal. Hence, it becomes pertinent for any organization to encourage employees to come up with creative ideas, strategies and solutions to sustain the business. The context of this study is advertising agencies which fall under the category of creative industry and employ creative people in all critical functions. The study aims to identify the personality traits, behavioural attributes and communication patterns (as perceived and reported by subordinates) which are critical for effective leadership in terms of fostering creative outcomes from subordinates in advertising agencies. It attempts to highlight the role of superiors (bosses) in fostering creativity amongst their subordinates. The study was conducted on employees in leading advertising agencies of India. The methodology used for the research is qualitative. The data were collected in three different stages and the tool used for collecting data was in-depth interviews. Qualitative content analysis was done on the interview protocols. Data interpretation was done using open, axial and selective coding. The findings led to the formulation of a three-factor model for fostering creative outcomes in subordinates, using grounded theory approach.",Vision,eng,BUS,LightOrange
JW/TH,bUWgA,There are no issues,NA,NA,Australia,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84926044605,2014,Educ. Bus. Soc. Contemp. Middle East Issues,7,2,167,NA,Preparing Emirati students to meet the English language requirements for higher education: A pilot study,10.1108/EBS-10-2013-0037,Education,0,"© Emerald Group Publishing Limited. Purpose – The purpose of this paper is to report on an applied research project that was conceived in response to the low number of Emirati high school graduates entering directly into undergraduate programmes in higher education institutions mainly due to lack of adequate academic English proficiency. Performing well in international standardised testing such as the International English Language Testing System (IELTS) is of primary importance in preparing non-English speaking learners for higher education delivered through the medium of English. Design/methodology/approach – Three hundred ninety-one secondary education Emirati students were involved in an intervention study. The study was cross-sectional, and it used a pre/post-design to measure change and impact on the students’ IELTS scores with comparisons between different experimental groups by gender, region and overall. Additional attitudinal data were collected using a survey with students, teachers and principals involved in the intervention programme. Findings – Results showed a statistically significant and educationally meaningful pre/ post-improvement for the students who attended the IELTS preparation programme and a positive attitude towards the intervention programme. Research limitations/implications – A limitation of the study is that it used a quasi-experimental design with some threats to the validity of the design, so some caution is suggested in drawing conclusions which are too strong. Originality/value – This project is the first of its kind in the United Arab Emirated as it endeavoured to raise secondary education Emirati students’ awareness of the knowledge and skills involved in succeeding in the IELTS exam and provided evidence of the kind of programme that could have a positive impact on student learning.","Education, Business and Society: Contemporary Middle Eastern Issues",eng,BUS SOC,LightOrange
SC/TH,bwuVC,There are no issues,NA,NA,Vietnam,Human,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,Yes - the statement says that there was funding from a public organization,The author also thanks the Netherlands Programme for the Institutional Strengthening of Post-secondary Education and Training Capacity (NPT) project for their financial support,Yes - found article via other means,84937687491,2015,Asian Acad. Manage. J.,20,1,101,NA,The effects of local business environments on SMEs’ performance: Empirical evidence from the Mekong Delta,NA,"Business, Management and Accounting (all)",0,"¬© Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2015.This paper investigates how SME‚Äôs local business environment affects its performance. Theoretical arguments for business environment and performance go in both directions. That is, on the one hand business environment enhances SME‚Äôs performance; on the other hand it also impedes its operation. Using these arguments, we hypothesise that both favor treatment of local government for state-owned companies and bribery (or ""speed money"") are negatively related to SME‚Äôs performance. Promotion policies of local government for private firm and local labour force have positive effects on SME‚Äôs performance. We test these hypotheses in a survey data from 63 manufacturing and service SMEs locating in three provinces of the Mekong Delta within the period of 2011 and 2012. Using fixed effect and random effect models, the empirical results release that local government‚Äôs favour policies for private firms and labour force have positive effects on SMEs‚Äô performance. The results revealed that although bribery has positively related to SME‚Äôs performance, this relation becomes negatively when the level of bribe is high. A major implication is that the study provides better understanding for SMEs in addressing the local environment factors, which significantly affect SMEs‚Äô performance. The results of this study can also be used as reference for anyone who is interested in start their own business providing insights into decision-making in starting a business and also for any SMEs which are interested in continuing to sustain and grow. In addition, bribery enables SMEs to use government resources, avoid red tape, and thus foster revenues. High levels of ""speed money"" increasingly absorbs the returns on SME activities, and distort entrepreneurial spirit and behaviour because favourable relationships with public officials provide entrepreneurs legitimacy and thus decrease the risk for closure.",Asian Academy of Management Journal,eng,BUS,LightOrange
SC/TH,CCOSm,There are no issues,NA,NA,Germany,Human,Empirical data - multiple study types are reported,0,0,0,0,0,Yes - the statement says that the materials (or some of the materials) are available,Table 1,In current article,Yes,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84953735055,2015,Financ. Acc. Manag.,31,2,192,NA,The Influence of Management Accounting Departments Within German Municipal Administrations,10.1111/faam.12052,"Business, Management and Accounting (all)",1,"¬© 2015 John Wiley & Sons Ltd.The achievement of better performance from municipal administrations is an ongoing challenge. We use the contingency theory perspective, which concentrates on the specific environmental settings of organisations, to examine the influence of management accounting departments within German municipal administrations. Our findings indicate that as the size of municipalities increases, the level of their administrative performance decreases. We additionally show that this negative effect can be mitigated when management accounting is seen as being highly relevant and when the management accounting department performs well. Furthermore, a comparison of the accounting systems (cash versus accrual accounting) used in municipal administrations reveals that a successful working management accounting department can only exert a positive effect when the municipal administration acts under an accrual accounting regime.",Financial Accountability and Management,eng,BUS ECON,LightOrange
TB/TH,cdglG,There are no issues,0.4,0.468,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84938523453,2015,East Eur. Polit. Soc.,29,2,366,NA,Conceptualizing Historical Legacies,10.1177/0888325415577864,Sociology and Political Science,4,"¬© 2015, ¬© 2015 SAGE Publications. In the nearly quarter century since the collapse of communism, a great many outcomes in East Europe and the former Soviet Union, from patterns of democratic consolidation to state‚Äìsociety relations, have been attributed to legacies of the past. Yet despite the common goal of understanding the influence of the past, there is little consensus on how to conceptualize historical legacies. Through a focus on post-communist outcomes and their relation to prior outcomes and causal precursors, this article assesses what counts as a historical legacy and how legacies differ from non-legacies.",East European Politics and Societies,eng,SOC,LightOrange
JW/TH,CImlR,There are no issues,NA,NA,Australia,Human,Empirical data - survey,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,None,Yes - the statement says that there was funding from both public and private organizations,"The project was supported financially by the Victorian
Department of Human Services, the Victorian Office of the
Child Safety Commissioner (now the Commission for Children
and Young People, Victoria), the Federal Department
of Families, Housing, Community Services and Indigenous
Affairs (now the AustralianGovernmentDepartment of Social
Services) and the R E Ross Trust.",No - could not access article other than through paywall,84927655439,2014,Child. Aust.,40,1,23,NA,'It's a family responsibility': Family and cultural connection for aboriginal children in kinship care,10.1017/cha.2014.36,Sociology and Political Science,2,"Copyright © The Author(s) 2014.Kinship care as a form of protective care in Australia has grown considerably over the past decade. The University of Melbourne Family Links: Kinship Care and Family Contact research project comprised a survey of kinship carers and consultations with key stakeholders. Given the significant over-representation of Indigenous children in kinship care arrangements, the project included a nested study of Indigenous kinship care. Research participants stressed the imperative for Indigenous children to be connected to family, community and culture. However, survey responses indicated that in many cases, family and cultural connections were not being assisted by cultural support planning. Indigenous caseworkers described the complexities of facilitating family contact, highlighting good practice as well as dilemmas and shortcomings in culturally sensitive practice. There was much evidence of the straitened circumstances of Indigenous kinship carers and unmet support needs among carers, both Indigenous and non-Indigenous. Suggestions are made about ways in which children in kinship care might be better supported to maintain their family relationships.",Children Australia,eng,PSY SOC,LightOrange
MK/TH,COKIW,There are no issues,0.994,0.956,United States of America,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,"Disclosure statement
No potential conflict of interest was reported by the author.",No - there is no funding statement,none,No - could not access article other than through paywall,84961203308,2016,Ethn. Racial Stud.,39,11,1962,NA,"Race, ethnicity and German identity: a media analysis of the 2010 world cup men's national soccer team",10.1080/01419870.2016.1148823,Cultural Studies,0,"© 2016 Informa UK Limited, trading as Taylor & Francis Group. Enjoying a surge of national pride, the German media celebrated the 2010 German World Cup team's success in South Africa. A dominant theme in this coverage was the ‘immigration background’ of 11 of the 23 players on the team and their claim to German identity despite their ethnic diversity. Amid debate over the changing nature of German citizenship, the national team's ‘multicultural kickers’ became the focal point for those who wished to re-frame German identity. This article examines German newspaper and magazine coverage of the national soccer team emphasizing the role that media played in constructing competing definitions of the German citizen and nation.",Ethnic and Racial Studies,eng,SOC,LightOrange
MK/TH,cqkee,There are no issues,1.343,1.075,United States of America,Neither,Empirical data - field study,0,0,0,0,0,No - there is no materials availability statement,NA,NA,NA,No - there is no data availability statement,NA,NA,NA,NA,NA,No - there is no analysis script availability statement,NA,NA,NA,No - there is no pre-registration statement,NA,NA,NA,NA,No,NA,There is no clear statement about whether the article reports a replication study (or studies),No - there is no conflict of interest statement,none,No - there is no funding statement,none,No - could not access article other than through paywall,84893909514,2014,J. Risk Insur.,81,1,177,NA,"Pension conversion, termination, and wealth transfers",10.1111/j.1539-6975.2012.01497.x,Accounting,0,"This article explores the motivation to change their defined benefit pension plan by either terminating the plan and replacing it with a defined contribution plan or converting it to a cash balance plan. Using Form 5500 data as well as firm financial data, we find firms wishing to change their defined benefit plans are motivated by potential wealth transfer and tax implications. Firms terminating pension plans tend to have lower potential wealth transfers and lower taxes than firms converting to a cash balance plan, indicating a desire to modify the implicit contract instead of terminating the plan. © The Journal of Risk and Insurance.",Journal of Risk and Insurance,eng,BUS ECON,LightOrange
TB/TH,cxQqP,There are no issues,NA,NA,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found via Open Access Button,84955293815,2015,Tour. Anal.,20,6,593,NA,"Destination competitiveness: A comparative study of Hong kong, Macau, and Singapore",10.3727/108354215X14464845877832,"Tourism, Leisure and Hospitality Management",2,"¬© 2015 Cognizant Comm. Corp.This article presents a comparative study of the destination competitiveness of Hong Kong, Singapore,and Macau and those strategies developed to enhance their future positions in the global destination""marketplace."" The methodology adopted is secondary in nature in that a critical review of theexisting literature was conducted along with a synthesis of current practices across the three city-statedestinations. The 15 Cs Framework provides the research parameters for the study in that it advocatesan inclusive approach to those challenges and opportunities facing destinations as they seek toenhance their overall competitiveness. In particular, the study explores the specific approaches of thethree destinations in terms of their similarity to thematically grouped clusters of the 15 Cs. The articlecloses by highlighting particular opportunities and challenges and potential management approachesthat could be adopted within the destinations for the future.",Tourism Analysis,eng,BUS,LightOrange
SC/TH,DdcHO,There are no issues,NA,NA,India,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No - there is no conflict of interest statement,none,No - there is no funding statement,none,Yes - found article via other means,84922205498,2015,Int. J. Law Manage.,57,1,28,NA,Imperfect work conditions in Bangladesh RMG sector,10.1108/IJLMA-07-2013-0034,Organizational Behavior and Human Resource Management,0,¬© Emerald Group Publishing Limited.Purpose ‚Äì The purpose of this paper is to reflect on the effectiveness of labour law in Bangladesh and provide suggestions to improve working conditions in the country. Design/methodology/approach ‚Äì The article provides an analysis of the factual impact of labour law in Bangladesh. Findings ‚Äì The study reveals the appalling condition in the ready-made garment industry. The factory owners tend to bend the laws and exploit the workers. Originality/value ‚Äì The paper offers some suggestions to improve the working conditions of the workers in the garment industry of Bangladesh.,International Journal of Law and Management,eng,BUS SOC,LightOrange
MK/TH,dDURS,I cannot access the full text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84907532008,2014,Int J Technol Manage,66,4,319,NA,Social shopping communities as an emerging business model of youth entrepreneurship: Exploring the effects of website characteristics,10.1504/IJTM.2014.064987,Industrial Relations,5,"© 2014 Inderscience Enterprises Ltd.This paper focuses on the social shopping community (SSC), an emerging e-commerce business model of youth entrepreneurship that generates revenues through facilitating online purchase. We develop a model based on the stimulus-organism-response (S-O-R) framework and use it to investigate how website characteristics, which we describe as sociability and self reference, of social shopping environment influence consumers' cognitive and emotional trust in SSCs, as well as how trust in turn affects their purchase intention. The results of our survey of 405 members of Meilishuo, a Chinese SSC, indicate that sociability and self reference features significantly influence cognitive and emotional trust, and in turn the likelihood and magnitude of online purchase. Moreover, the emotional trust plays a greater role in influencing consumers' intention to purchase through the SSC than cognitive trust, and participant involvement moderates the relationship between trust and purchase intention. This work contributes to our understanding of the dynamics that govern consumer behaviour in SSCs and adds to the broader line of research on social commerce. It also provides insights into how young entrepreneurs can tap the economic values of social commerce. Copyright",International Journal of Technology Management,eng,BUS SOC,LightOrange
TB/TH,DImYj,There are no issues,NA,NA,United Kingdom,Neither,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, and reviews)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes - the statement says that there is no conflict of interest,No potential conflict of interest was reported by the author.,No - there is no funding statement,none,Yes - found via Open Access Button,84981167181,2016,East European Polit.,32,4,426,NA,Deepening democratisation? Exploring the declared motives for “late” lustration in Poland,10.1080/21599165.2016.1218333,"Geography, Planning and Development",0,"√Ç¬© 2016 Informa UK Limited, trading as Taylor & Francis Group. Lustration was one of, if not the, most important and controversial transitional justice methods to be used in post-communist Central and Eastern Europe, and Poland is an archetypal case of late and recurring lustration. Many of the attempts in the literature to tackle such changes of lustration trajectory divide between those who focus on the partisan and electoral-strategic drivers of its protagonists, and those who ascribe more ideological-programmatic motives to them. The re-emergence of the lustration issue in the Polish case was entwined with broader debates about the quality of post-communist democracy more generally and often felt to be indicative of the need to deepen the democratisation process.",East European Politics,eng,SOC,LightOrange
